work_order_id,machine_id,plant_id,created_at,scheduled_start,actual_start,scheduled_end,actual_end,status,priority,product_type,planned_units,actual_units,defect_count,downtime_minutes,operator_id,failure_mode,risk_score,risk_label
11,49,5,2021-09-02T10:03:41+00:00,2021-09-02T12:52:37.931916+00:00,2021-09-02T17:29:04.366221+00:00,2021-09-03T07:38:00.561295+00:00,2021-09-03T14:42:08.007671+00:00,delayed,medium,Module-Alpha,496,491,10,18,7,,,
12,1,1,2023-06-29T05:41:39+00:00,2023-06-29T09:15:18.481715+00:00,2023-06-29T09:52:32.812160+00:00,2023-06-29T19:36:18.708312+00:00,2023-06-29T17:20:51.859164+00:00,failed,high,Panel-1,220,141,22,254,187,misalignment,,
13,2,1,2021-09-09T05:50:55+00:00,2021-09-09T08:07:14.757138+00:00,2021-09-09T08:19:18.469212+00:00,2021-09-09T10:46:56.169106+00:00,2021-09-09T11:00:09.931549+00:00,completed,high,Widget-A,694,684,2,16,27,,,
14,30,3,2021-03-30T11:18:39+00:00,2021-03-30T15:09:19.853039+00:00,2021-03-30T15:17:39.531277+00:00,2021-03-31T07:24:05.009856+00:00,2021-03-31T07:27:37.892486+00:00,completed,medium,Component-Y,175,167,0,9,150,,,
15,21,3,2023-11-24T01:23:06+00:00,2023-11-24T03:31:15.008180+00:00,2023-11-24T04:37:16.059316+00:00,2023-11-24T23:01:16.091993+00:00,2023-11-25T08:12:30.536984+00:00,delayed,medium,Widget-B,937,908,33,27,47,,,
16,37,4,2023-10-18T22:43:30+00:00,2023-10-19T00:42:56.114288+00:00,2023-10-19T00:46:39.169895+00:00,2023-10-19T10:19:18.553082+00:00,2023-10-19T09:45:51.019062+00:00,completed,medium,Panel-2,325,320,5,8,192,,,
17,9,1,2021-03-14T19:34:09+00:00,2021-03-14T21:09:19.216891+00:00,2021-03-14T22:59:50.204293+00:00,2021-03-15T17:07:21.411861+00:00,2021-03-15T03:38:17.450644+00:00,failed,medium,Component-X,189,26,4,289,109,mechanical_wear,,
18,8,1,2021-03-02T14:27:42+00:00,2021-03-02T17:20:39.003038+00:00,2021-03-02T17:33:46.507486+00:00,2021-03-03T03:33:41.698620+00:00,2021-03-03T04:03:46.970839+00:00,completed,high,Panel-2,100,95,0,9,37,,,
19,13,2,2022-12-04T23:13:11+00:00,2022-12-05T01:33:10.287154+00:00,2022-12-05T03:13:11.188741+00:00,2022-12-05T11:08:45.537818+00:00,2022-12-05T04:34:40.326674+00:00,failed,medium,Assembly-Z,318,39,5,52,169,operator_error,,
20,50,5,2021-09-20T10:14:14+00:00,2021-09-20T13:27:49.354068+00:00,2021-09-20T14:32:09.043927+00:00,2021-09-21T13:07:45.776947+00:00,2021-09-21T02:38:16.645497+00:00,failed,low,Module-Alpha,600,258,62,380,78,material_defect,,
21,37,4,2021-10-01T06:42:53+00:00,2021-10-01T08:01:43.381251+00:00,2021-10-01T08:07:24.898923+00:00,2021-10-01T15:26:26.289055+00:00,2021-10-01T15:33:24.159916+00:00,completed,high,Component-X,462,445,8,9,135,,,
22,49,5,2022-06-11T02:47:03+00:00,2022-06-11T05:34:05.600491+00:00,2022-06-11T05:38:24.940544+00:00,2022-06-12T02:05:06.408961+00:00,2022-06-12T02:22:01.638634+00:00,completed,medium,Component-Y,559,536,9,11,139,,,
23,42,5,2023-11-09T01:07:52+00:00,2023-11-09T04:54:24.841766+00:00,2023-11-09T06:49:28.779537+00:00,2023-11-09T06:58:02.068729+00:00,2023-11-09T08:21:02.773997+00:00,failed,high,Assembly-Z,641,350,112,356,160,operator_error,,
24,50,5,2021-04-09T13:48:29+00:00,2021-04-09T14:54:27.270432+00:00,2021-04-09T15:02:17.639030+00:00,2021-04-10T06:04:45.790394+00:00,2021-04-10T06:25:52.961735+00:00,completed,medium,Component-X,97,96,0,1,48,,,
25,22,3,2023-10-16T18:32:18+00:00,2023-10-16T21:20:27.077392+00:00,2023-10-16T21:25:27.351374+00:00,2023-10-16T23:27:10.691722+00:00,2023-10-16T23:36:35.229184+00:00,completed,high,Panel-2,161,159,1,12,55,,,
26,24,3,2021-12-09T10:34:34+00:00,2021-12-09T12:25:03.829767+00:00,2021-12-09T12:36:46.101112+00:00,2021-12-09T20:10:04.747763+00:00,2021-12-09T20:08:43.154943+00:00,completed,high,Widget-B,132,127,2,18,1,,,
27,39,4,2023-11-07T14:34:01+00:00,2023-11-07T15:29:37.213147+00:00,,2023-11-08T02:27:02.015463+00:00,,cancelled,high,Component-X,858,0,0,0,20,,,
28,28,3,2023-06-22T23:41:22+00:00,2023-06-23T01:14:46.285132+00:00,2023-06-23T01:29:43.616324+00:00,2023-06-23T12:25:09.894853+00:00,2023-06-23T13:01:29.554870+00:00,completed,medium,Module-Alpha,486,468,1,15,168,,,
29,40,4,2021-01-27T05:15:55+00:00,2021-01-27T05:52:00.393740+00:00,2021-01-27T10:38:20.398966+00:00,2021-01-28T03:29:54.759169+00:00,2021-01-28T10:24:52.278604+00:00,delayed,medium,Panel-1,642,633,27,5,182,,,
30,1,1,2021-01-06T22:33:56+00:00,2021-01-06T23:54:01.765540+00:00,2021-01-07T04:48:20.849842+00:00,2021-01-07T13:30:15.651297+00:00,2021-01-08T00:43:13.609301+00:00,delayed,high,Panel-2,626,604,31,50,140,,,
31,21,3,2022-05-15T01:50:20+00:00,2022-05-15T04:32:38.149242+00:00,2022-05-15T04:35:31.886584+00:00,2022-05-15T17:14:29.253160+00:00,2022-05-15T16:32:08.382323+00:00,completed,high,Widget-B,713,702,13,10,150,,,
32,36,4,2021-03-01T14:57:36+00:00,2021-03-01T17:56:36.686392+00:00,2021-03-01T18:07:37.077634+00:00,2021-03-02T15:16:43.951293+00:00,2021-03-01T23:23:35.152387+00:00,failed,medium,Widget-A,90,19,6,296,51,overheating,,
33,39,4,2022-09-19T05:16:46+00:00,2022-09-19T07:48:09.016919+00:00,2022-09-19T07:50:22.612010+00:00,2022-09-19T13:21:14.835900+00:00,2022-09-19T13:15:33.825964+00:00,completed,high,Widget-B,949,920,3,18,95,,,
34,42,5,2023-11-03T22:46:50+00:00,2023-11-04T01:30:06.326879+00:00,2023-11-04T01:38:55.802503+00:00,2023-11-04T16:33:16.095774+00:00,2023-11-04T15:54:43.650565+00:00,completed,medium,Component-X,634,603,5,8,96,,,
35,22,3,2021-09-04T19:09:58+00:00,2021-09-04T21:56:02.150876+00:00,2021-09-04T22:04:16.380821+00:00,2021-09-05T15:04:47.931472+00:00,2021-09-05T14:36:44.027086+00:00,completed,medium,Component-X,588,577,6,10,73,,,
36,48,5,2022-09-03T19:10:34+00:00,2022-09-03T22:28:32.367176+00:00,2022-09-03T22:30:16.638228+00:00,2022-09-04T17:55:30.536427+00:00,2022-09-04T16:13:09.807987+00:00,completed,low,Module-Alpha,858,851,1,10,16,,,
37,16,2,2022-01-01T12:55:06+00:00,2022-01-01T13:28:11.003829+00:00,2022-01-01T13:30:29.255438+00:00,2022-01-02T02:07:37.464996+00:00,2022-01-02T02:02:25.796156+00:00,completed,high,Panel-1,348,332,6,10,73,,,
38,10,1,2022-05-07T20:08:17+00:00,2022-05-07T21:59:43.805359+00:00,2022-05-07T23:38:43.146999+00:00,2022-05-08T15:13:11.452421+00:00,2022-05-08T21:23:30.539144+00:00,delayed,medium,Panel-2,782,683,12,41,84,,,
39,50,5,2023-11-15T01:33:44+00:00,2023-11-15T03:37:51.894727+00:00,2023-11-15T08:17:07.432148+00:00,2023-11-15T10:00:58.104087+00:00,2023-11-15T16:03:19.109277+00:00,delayed,low,Assembly-Z,812,747,13,59,62,,,
40,3,1,2023-09-20T08:54:45+00:00,2023-09-20T11:07:41.489034+00:00,2023-09-20T11:11:20.789743+00:00,2023-09-20T14:59:12.745309+00:00,2023-09-20T15:09:00.695757+00:00,completed,critical,Panel-1,271,266,3,11,130,,,
41,38,4,2022-11-03T12:43:44+00:00,2022-11-03T16:11:04.433803+00:00,2022-11-03T16:18:38.746138+00:00,2022-11-04T00:58:08.630620+00:00,2022-11-04T01:24:55.102150+00:00,completed,medium,Widget-A,757,741,12,10,77,,,
42,16,2,2022-06-30T16:56:17+00:00,2022-06-30T20:38:55.454674+00:00,2022-06-30T20:41:47.897383+00:00,2022-07-01T06:48:55.602229+00:00,2022-07-01T05:53:04.309725+00:00,completed,medium,Assembly-Z,149,148,1,13,90,,,
43,6,1,2022-09-12T18:39:13+00:00,2022-09-12T22:35:23.754939+00:00,2022-09-12T22:48:56.750024+00:00,2022-09-13T14:09:59.892149+00:00,2022-09-13T14:31:07.350232+00:00,completed,medium,Widget-A,211,210,3,14,93,,,
44,41,5,2021-05-05T19:54:59+00:00,2021-05-05T22:42:20.690359+00:00,2021-05-05T22:53:21.068507+00:00,2021-05-06T12:25:37.685199+00:00,2021-05-06T12:46:55.403806+00:00,completed,medium,Panel-2,468,452,0,0,25,,,
45,28,3,2023-11-20T19:13:00+00:00,2023-11-20T21:09:25.857628+00:00,2023-11-21T00:42:43.999489+00:00,2023-11-22T08:23:43.146429+00:00,2023-11-23T02:04:54.853307+00:00,delayed,low,Component-Y,867,857,43,27,48,,,
46,1,1,2022-02-12T17:40:21+00:00,2022-02-12T20:40:08.053274+00:00,2022-02-12T20:52:08.837707+00:00,2022-02-13T04:56:05.706301+00:00,2022-02-13T04:22:09.282194+00:00,completed,critical,Component-X,153,147,2,2,125,,,
47,21,3,2023-11-08T04:18:41+00:00,2023-11-08T07:56:45.999505+00:00,2023-11-08T08:01:59.227786+00:00,2023-11-08T18:10:38.239670+00:00,2023-11-08T18:33:02.833316+00:00,completed,medium,Assembly-Z,554,534,6,0,90,,,
48,12,2,2021-10-28T15:48:23+00:00,2021-10-28T17:30:11.279426+00:00,2021-10-28T17:34:38.005277+00:00,2021-10-28T21:55:44.879057+00:00,2021-10-28T21:49:53.242504+00:00,completed,low,Panel-2,228,218,4,2,115,,,
49,48,5,2023-03-15T18:15:47+00:00,2023-03-15T19:14:00.023108+00:00,2023-03-15T20:50:39.208054+00:00,2023-03-16T07:39:44.717268+00:00,2023-03-16T09:22:59.194315+00:00,delayed,medium,Assembly-Z,521,478,19,54,177,,,
50,15,2,2022-04-05T21:32:37+00:00,2022-04-05T23:02:22.215026+00:00,2022-04-05T23:16:00.373359+00:00,2022-04-06T19:11:56.609335+00:00,2022-04-06T19:00:42.007325+00:00,completed,low,Module-Alpha,765,755,10,4,119,,,
51,3,1,2023-07-24T22:44:30+00:00,2023-07-25T00:13:58.911359+00:00,2023-07-25T00:20:33.458992+00:00,2023-07-25T21:20:32.140805+00:00,2023-07-25T20:50:56.215132+00:00,completed,medium,Widget-B,218,217,2,3,52,,,
52,47,5,2023-09-15T09:27:25+00:00,2023-09-15T10:18:48.866382+00:00,2023-09-15T10:25:18.541626+00:00,2023-09-16T07:12:30.471512+00:00,2023-09-16T05:20:22.408637+00:00,completed,low,Component-Y,226,225,0,14,21,,,
53,3,1,2022-09-18T22:09:13+00:00,2022-09-18T22:49:55.102080+00:00,2022-09-18T23:36:03.533602+00:00,2022-09-19T07:01:15.893860+00:00,2022-09-19T00:48:59.154104+00:00,failed,medium,Widget-A,300,34,6,262,61,operator_error,,
54,24,3,2021-09-10T05:19:46+00:00,2021-09-10T05:50:01.536588+00:00,2021-09-10T05:56:29.730906+00:00,2021-09-10T16:15:19.989527+00:00,2021-09-10T16:32:29.268052+00:00,completed,critical,Component-Y,325,322,1,2,46,,,
55,16,2,2021-09-23T06:37:47+00:00,2021-09-23T08:17:14.270350+00:00,2021-09-23T11:19:17.508534+00:00,2021-09-23T14:32:13.608438+00:00,2021-09-23T19:47:41.639096+00:00,delayed,medium,Panel-2,699,609,10,36,10,,,
56,10,1,2021-04-09T06:20:04+00:00,2021-04-09T09:00:17.881012+00:00,2021-04-09T09:13:02.372812+00:00,2021-04-09T11:29:09.964952+00:00,2021-04-09T11:27:07.600936+00:00,completed,high,Widget-A,826,819,10,0,92,,,
57,9,1,2023-04-26T14:14:38+00:00,2023-04-26T16:20:04.163622+00:00,2023-04-26T16:32:16.007033+00:00,2023-04-28T01:31:58.338790+00:00,2023-04-28T00:00:06.745876+00:00,completed,low,Component-X,291,288,1,2,121,,,
58,25,3,2022-11-27T11:14:12+00:00,2022-11-27T11:48:11.830263+00:00,2022-11-27T13:15:13.150173+00:00,2022-11-27T18:04:53.733130+00:00,2022-11-27T17:26:16.707924+00:00,failed,high,Component-X,869,460,93,43,179,mechanical_wear,,
59,6,1,2021-09-16T11:46:47+00:00,2021-09-16T14:03:18.888040+00:00,2021-09-16T14:38:47.168118+00:00,2021-09-16T17:32:22.718596+00:00,2021-09-16T19:51:39.541036+00:00,delayed,high,Widget-B,687,644,10,41,115,,,
60,41,5,2023-08-22T03:15:54+00:00,2023-08-22T03:56:30.548174+00:00,2023-08-22T04:09:03.168833+00:00,2023-08-22T11:13:30.447630+00:00,2023-08-22T10:43:32.503489+00:00,completed,medium,Widget-B,641,628,11,3,47,,,
61,43,5,2022-11-09T22:26:24+00:00,2022-11-10T01:28:48.697397+00:00,2022-11-10T01:35:06.042546+00:00,2022-11-10T18:03:55.696623+00:00,2022-11-10T17:47:30.973332+00:00,completed,medium,Assembly-Z,549,521,8,7,72,,,
62,25,3,2022-03-23T07:26:07+00:00,2022-03-23T10:19:27.528137+00:00,2022-03-23T12:14:50.685470+00:00,2022-03-23T17:23:02.147770+00:00,2022-03-23T13:57:40.171036+00:00,failed,high,Panel-2,896,126,44,443,49,operator_error,,
63,14,2,2022-05-29T23:05:31+00:00,2022-05-30T01:24:05.445534+00:00,2022-05-30T01:32:38.385971+00:00,2022-05-30T11:07:11.008683+00:00,2022-05-30T10:26:34.395517+00:00,completed,medium,Panel-1,885,880,14,13,174,,,
64,21,3,2021-01-04T13:13:14+00:00,2021-01-04T15:02:26.022972+00:00,2021-01-04T15:07:13.242212+00:00,2021-01-05T14:33:45.822643+00:00,2021-01-05T14:26:17.273443+00:00,completed,medium,Widget-B,483,472,4,0,3,,,
65,36,4,2023-10-21T07:22:23+00:00,2023-10-21T09:15:08.747981+00:00,2023-10-21T09:34:41.422785+00:00,2023-10-21T18:55:41.403364+00:00,2023-10-21T15:50:40.780156+00:00,failed,medium,Widget-A,237,97,18,40,40,operator_error,,
66,5,1,2023-04-05T08:00:56+00:00,2023-04-05T09:09:56.653299+00:00,2023-04-05T09:10:37.309104+00:00,2023-04-05T17:38:15.995523+00:00,2023-04-05T17:24:49.492481+00:00,completed,low,Component-X,314,313,3,4,131,,,
67,42,5,2021-09-14T00:44:03+00:00,2021-09-14T04:23:23.687355+00:00,2021-09-14T04:24:28.327281+00:00,2021-09-15T01:33:15.341369+00:00,2021-09-14T23:53:35.623505+00:00,completed,medium,Component-X,347,334,3,15,86,,,
68,9,1,2023-07-15T07:14:41+00:00,2023-07-15T08:37:52.018977+00:00,2023-07-15T10:20:05.937713+00:00,2023-07-15T13:25:59.796552+00:00,2023-07-15T13:03:34.716509+00:00,failed,medium,Component-Y,565,254,55,362,168,electrical_fault,,
69,22,3,2023-04-12T10:57:11+00:00,2023-04-12T11:52:31.257252+00:00,2023-04-12T13:49:49.145513+00:00,2023-04-13T21:51:30.383259+00:00,2023-04-14T14:11:46.993663+00:00,delayed,low,Widget-A,246,215,6,39,83,,,
70,3,1,2023-08-20T14:58:12+00:00,2023-08-20T17:19:40.714968+00:00,2023-08-20T17:33:46.732078+00:00,2023-08-21T06:32:04.525468+00:00,2023-08-21T07:12:28.917417+00:00,completed,low,Panel-1,596,589,6,17,57,,,
71,25,3,2022-08-03T13:00:07+00:00,2022-08-03T13:56:30.364546+00:00,2022-08-03T13:58:57.583736+00:00,2022-08-03T17:58:19.664709+00:00,2022-08-03T17:56:42.583308+00:00,completed,medium,Panel-2,463,444,0,3,51,,,
72,12,2,2021-06-21T20:06:22+00:00,2021-06-21T22:00:27.685690+00:00,2021-06-21T22:12:44.162772+00:00,2021-06-22T09:42:10.855819+00:00,2021-06-22T10:02:20.664946+00:00,completed,medium,Module-Alpha,920,895,3,12,166,,,
73,47,5,2022-01-09T11:27:31+00:00,2022-01-09T14:08:17.130187+00:00,2022-01-09T14:22:08.535171+00:00,2022-01-10T03:37:43.859675+00:00,2022-01-10T03:23:49.350094+00:00,completed,high,Module-Alpha,375,368,7,15,1,,,
74,13,2,2023-08-19T16:11:42+00:00,2023-08-19T18:54:28.763444+00:00,2023-08-19T19:05:22.325560+00:00,2023-08-19T23:24:41.415045+00:00,2023-08-19T23:27:15.058663+00:00,completed,medium,Widget-A,808,794,9,2,15,,,
75,27,3,2023-11-06T08:48:14+00:00,2023-11-06T12:15:53.695272+00:00,2023-11-06T13:09:51.050629+00:00,2023-11-07T04:51:39.883513+00:00,2023-11-07T02:40:23.859462+00:00,failed,medium,Assembly-Z,218,141,36,154,151,operator_error,,
76,32,4,2021-11-27T21:55:20+00:00,2021-11-27T23:49:59.566572+00:00,2021-11-28T00:03:35.944266+00:00,2021-11-29T02:48:42.597088+00:00,2021-11-29T02:02:15.239127+00:00,completed,low,Panel-1,398,390,3,8,69,,,
77,25,3,2021-10-10T20:10:48+00:00,2021-10-10T23:00:00.662399+00:00,2021-10-10T23:39:11.799666+00:00,2021-10-11T10:15:14.470513+00:00,2021-10-11T02:33:34.404633+00:00,failed,high,Widget-B,358,75,25,330,50,material_defect,,
78,47,5,2021-07-08T08:21:01+00:00,2021-07-08T11:12:42.680497+00:00,2021-07-08T11:23:13.932488+00:00,2021-07-08T18:43:58.199971+00:00,2021-07-08T19:13:52.030643+00:00,completed,medium,Widget-B,778,762,4,2,62,,,
79,31,4,2021-12-17T14:48:57+00:00,2021-12-17T15:23:49.667538+00:00,2021-12-17T15:30:29.216136+00:00,2021-12-18T16:32:39.790457+00:00,2021-12-18T17:40:15.907293+00:00,completed,low,Assembly-Z,430,426,4,6,65,,,
80,35,4,2022-04-30T09:22:24+00:00,2022-04-30T13:06:24.818694+00:00,2022-04-30T13:17:53.019200+00:00,2022-05-01T11:05:54.046653+00:00,2022-05-01T11:36:21.374688+00:00,completed,medium,Panel-1,819,797,7,4,140,,,
81,17,2,2022-12-07T10:22:21+00:00,2022-12-07T12:18:26.778092+00:00,2022-12-07T12:20:57.707660+00:00,2022-12-08T02:47:04.379867+00:00,2022-12-08T01:23:42.236540+00:00,completed,medium,Component-X,295,285,4,9,160,,,
82,12,2,2023-02-05T16:22:58+00:00,2023-02-05T17:33:24.644373+00:00,2023-02-05T18:24:08.806767+00:00,2023-02-06T10:20:04.051863+00:00,2023-02-06T04:23:50.836963+00:00,failed,high,Panel-2,159,82,30,205,14,misalignment,,
83,42,5,2022-10-06T22:10:02+00:00,2022-10-06T23:03:31.244510+00:00,2022-10-06T23:11:48.210946+00:00,2022-10-07T15:19:05.174209+00:00,2022-10-07T15:03:05.519260+00:00,completed,medium,Panel-2,502,494,6,17,1,,,
84,41,5,2023-12-30T08:49:17+00:00,2023-12-30T12:44:22.967386+00:00,2023-12-30T12:45:09.244625+00:00,2023-12-31T06:28:48.392541+00:00,2023-12-31T06:30:28.295322+00:00,completed,medium,Widget-A,140,135,2,6,158,,,
85,49,5,2023-10-22T12:22:01+00:00,2023-10-22T14:35:10.843825+00:00,2023-10-22T19:55:16.405662+00:00,2023-10-23T10:01:05.888947+00:00,2023-10-23T16:17:12.623963+00:00,delayed,medium,Component-Y,273,238,8,44,57,,,
86,6,1,2021-02-27T18:30:11+00:00,2021-02-27T19:07:29.963214+00:00,2021-02-27T19:09:42.140575+00:00,2021-02-28T04:31:59.391899+00:00,2021-02-28T04:50:37.851970+00:00,completed,critical,Widget-A,464,459,7,11,108,,,
87,1,1,2022-04-09T04:28:27+00:00,2022-04-09T06:44:19.650415+00:00,2022-04-09T06:47:36.920710+00:00,2022-04-10T01:02:32.484530+00:00,2022-04-09T23:50:20.077220+00:00,completed,medium,Component-Y,608,600,1,5,152,,,
88,4,1,2021-07-12T20:42:21+00:00,2021-07-13T00:40:19.894563+00:00,2021-07-13T01:58:45.381308+00:00,2021-07-13T07:47:17.338460+00:00,2021-07-13T05:14:43.368078+00:00,failed,high,Widget-A,832,250,92,112,192,operator_error,,
89,45,5,2021-07-30T09:02:47+00:00,2021-07-30T12:07:04.536648+00:00,2021-07-30T12:17:44.016143+00:00,2021-07-30T17:28:19.821040+00:00,2021-07-30T17:08:08.616192+00:00,completed,high,Component-Y,673,641,6,18,121,,,
90,33,4,2021-11-12T12:04:08+00:00,2021-11-12T13:55:03.655459+00:00,2021-11-12T14:03:31.341082+00:00,2021-11-13T10:46:47.560491+00:00,2021-11-13T10:57:07.741052+00:00,completed,low,Component-Y,148,141,0,16,2,,,
91,16,2,2023-09-06T14:17:37+00:00,2023-09-06T16:26:18.444848+00:00,2023-09-06T16:29:32.105295+00:00,2023-09-07T13:54:52.300887+00:00,2023-09-07T13:42:27.811716+00:00,completed,medium,Panel-2,213,204,1,6,136,,,
92,41,5,2022-03-30T17:34:07+00:00,2022-03-30T21:04:46.551766+00:00,2022-03-30T21:10:08.184427+00:00,2022-03-31T01:10:39.051430+00:00,2022-03-31T01:01:11.419293+00:00,completed,medium,Widget-B,545,534,2,3,161,,,
93,41,5,2023-10-15T01:19:36+00:00,2023-10-15T03:59:42.572630+00:00,2023-10-15T05:41:59.725319+00:00,2023-10-15T06:33:06.892983+00:00,2023-10-15T07:29:54.202680+00:00,failed,high,Panel-2,152,88,32,341,89,misalignment,,
94,3,1,2022-03-15T23:36:46+00:00,2022-03-16T02:56:04.006165+00:00,2022-03-16T04:53:30.172001+00:00,2022-03-16T17:12:08.093529+00:00,2022-03-16T12:00:36.312936+00:00,failed,medium,Component-Y,952,331,72,160,162,operator_error,,
95,18,2,2022-10-02T17:16:01+00:00,2022-10-02T18:07:42.371837+00:00,2022-10-02T18:13:50.174277+00:00,2022-10-02T21:56:20.726206+00:00,2022-10-02T21:54:24.652800+00:00,completed,high,Panel-1,355,348,6,7,186,,,
96,34,4,2023-04-26T14:21:26+00:00,2023-04-26T17:09:46.292964+00:00,2023-04-26T17:15:27.026473+00:00,2023-04-27T04:47:04.816032+00:00,2023-04-27T03:52:55.635453+00:00,completed,medium,Component-X,971,930,13,11,194,,,
97,19,2,2021-08-23T16:56:06+00:00,2021-08-23T20:19:43.552512+00:00,2021-08-23T20:20:30.870903+00:00,2021-08-24T03:14:58.124114+00:00,2021-08-24T03:33:07.568799+00:00,completed,medium,Panel-2,768,744,8,2,185,,,
98,41,5,2022-11-06T13:43:43+00:00,2022-11-06T16:49:50.595511+00:00,2022-11-06T16:49:55.521309+00:00,2022-11-06T18:26:27.481312+00:00,2022-11-06T18:28:16.736312+00:00,completed,medium,Widget-A,918,887,15,11,198,,,
99,19,2,2022-09-11T04:41:08+00:00,2022-09-11T06:55:25.040033+00:00,2022-09-11T07:08:15.117943+00:00,2022-09-12T01:44:47.414433+00:00,2022-09-12T00:36:28.182574+00:00,completed,medium,Panel-1,202,197,1,19,176,,,
100,2,1,2022-03-03T08:12:56+00:00,2022-03-03T10:50:26.864024+00:00,2022-03-03T10:52:13.423199+00:00,2022-03-04T10:25:48.411759+00:00,2022-03-04T10:54:46.533283+00:00,completed,medium,Panel-2,282,279,1,11,142,,,
101,18,2,2023-08-15T12:31:12+00:00,2023-08-15T15:26:07.597297+00:00,2023-08-15T16:46:19.578631+00:00,2023-08-15T21:16:03.771885+00:00,2023-08-15T19:06:47.174492+00:00,failed,critical,Module-Alpha,544,163,39,91,193,mechanical_wear,,
102,30,3,2021-08-23T11:21:14+00:00,2021-08-23T12:11:33.807881+00:00,2021-08-23T12:26:10.783292+00:00,2021-08-23T18:26:00.224766+00:00,2021-08-23T18:07:42.633357+00:00,completed,high,Assembly-Z,229,225,2,19,175,,,
103,15,2,2021-05-27T07:36:16+00:00,2021-05-27T11:27:35.714827+00:00,2021-05-27T12:52:17.453253+00:00,2021-05-27T23:23:08.394894+00:00,2021-05-27T16:56:35.180842+00:00,failed,critical,Component-Y,244,71,9,270,188,electrical_fault,,
104,39,4,2023-09-25T07:08:41+00:00,2023-09-25T09:31:00.716727+00:00,2023-09-25T09:37:41.231176+00:00,2023-09-25T12:43:28.431337+00:00,2023-09-25T12:32:43.503186+00:00,completed,high,Widget-A,54,53,0,16,159,,,
105,6,1,2021-11-09T22:27:28+00:00,2021-11-10T01:26:06.833069+00:00,2021-11-10T01:40:15.877185+00:00,2021-11-11T08:51:25.870699+00:00,2021-11-11T06:32:56.830166+00:00,completed,low,Widget-B,139,137,1,6,110,,,
106,49,5,2021-08-24T19:13:14+00:00,2021-08-24T21:04:21.902361+00:00,2021-08-24T21:05:31.594838+00:00,2021-08-25T08:34:12.141795+00:00,2021-08-25T08:47:04.660264+00:00,completed,medium,Module-Alpha,776,754,14,9,168,,,
107,31,4,2021-02-08T11:34:50+00:00,2021-02-08T12:50:45.673250+00:00,2021-02-08T12:54:18.397642+00:00,2021-02-09T05:15:19.333224+00:00,2021-02-09T03:47:39.925466+00:00,completed,high,Panel-2,245,234,1,18,13,,,
